,Variety,apple,character,cherry,cinnamon,dry,fresh,herb,oak,plum,soft,spice,strawberry,sweet,vanilla,Color
0,White Blend,0.6994246507752963,0.1343598521238002,0.008689923269675352,0.029526314916107,0.2121380729193779,0.4111243241836698,0.1187145053481782,0.1931679599758284,0.02086662341019244,0.1720203848805729,0.2133609757693768,0.006509150284006403,0.3025467458002348,0.2434055593602164,White
1,Portuguese Red,0.003980509207194001,0.5121588513256281,0.04591108798579452,0.006933114494629845,0.4019779762164556,0.2623278976434141,0.01791997443834047,0.07348001438577684,0.3125733432821758,0.5075716996402595,0.3533465802969744,0.02923108039146133,0.1309993032934456,0.03462237278767107,Red
2,Pinot Gris,0.6399477042522497,0.09643047598321569,0.01213338066773267,0.1259694732438356,0.4980786949767707,0.4173546037943497,0.03946575162186299,0.1006926435242533,0.01371068412047544,0.1253795666763139,0.229159316381172,0.01590480060579301,0.2223334292313481,0.1143749928075495,White
3,Riesling,0.5220581542004269,0.08347515862323163,0.03256421001263037,0.01473589560390493,0.6609324733071938,0.3650465516164838,0.06195610640463379,0.009717687166560868,0.0467529379593772,0.07580837496388383,0.1363807778275868,0.003508450413605647,0.343721446088985,0.02228654840414295,White
4,Pinot Noir,0.01353439382526409,0.1048526602095172,0.7816032918019462,0.12965558780773,0.2211181425942093,0.1334862052229631,0.08544332502247234,0.3213195261403675,0.1893243287091634,0.1678111976588889,0.1920215343449092,0.2395049895377135,0.1269607436976193,0.09742496281490598,Red
5,Tempranillo-Merlot,0.0,0.0,0.5023440282797078,0.0,0.2397833011133313,0.1004606959120415,0.0,0.1302768307924683,0.7450370288554511,0.1094475745099928,0.2075415234704984,0.0,0.2301252089583281,0.0,Red
6,Frappato,0.03311581997496828,0.03311581997496828,0.6875225861355785,0.08652000015037845,0.03125470195966801,0.2880814472312592,0.1118138314534478,0.06792405475716116,0.0323707700212032,0.05706404583864824,0.3787297865318828,0.5149858862876251,0.05999162398718835,0.0,Red
7,Gewürztraminer,0.1800543102422285,0.209252306497725,0.004810984529575416,0.03178504314964153,0.5327698458072414,0.292484248449364,0.01643091748172651,0.02495340970414386,0.04281163606613374,0.2054446940591332,0.5128111067961607,0.0,0.4870675383443974,0.0907012375257893,Rose
8,Tempranillo Blend,0.007215812641145418,0.04810541760763613,0.3376637972492986,0.0345627015726322,0.1884178026725702,0.1236415503561804,0.06497016906655168,0.4020774275053645,0.7171026875598704,0.05180850416667233,0.251501093422519,0.05610674401380697,0.07189572098207,0.2779502682026743,Red
9,Meritage,0.0,0.04807605057877672,0.6416448518537354,0.02093430424114261,0.2798073420035863,0.06336721569459379,0.08116313321587804,0.5670021667382263,0.2036424898418706,0.2416254236934608,0.170183243039752,0.04153517955271085,0.1741862560728444,0.1194755213937426,Red
10,Red Blend,0.005568708517634452,0.04558091045915608,0.72426223652807,0.108040378642953,0.1107599720221318,0.1313027114198001,0.1446163947387505,0.2390161575331193,0.3874910025515285,0.1592193266630383,0.3580268280406281,0.06147480021016227,0.1298376470694132,0.1726030547119174,Red
11,Nero d'Avola,0.0136221644512977,0.0,0.7945665770627892,0.1008381311989042,0.004285531711557766,0.1723666311429341,0.06132603294094771,0.1583295130203305,0.1686653912755969,0.2034348059699648,0.4451147896462326,0.0411909181077454,0.05346792453239874,0.1650330363266523,Red
12,Chenin Blanc,0.7197105575530518,0.2741754504964007,0.0,0.008954051279762017,0.3331621471358738,0.2927179979947103,0.03085796821946984,0.07029536157742644,0.07370191577776261,0.1653574083436468,0.2323713523566083,0.008882743924638708,0.3352644028734128,0.0702655869407123,White
13,Gamay,0.005057327319865576,0.3843568763097838,0.7024728590408761,0.0,0.2744534892183234,0.2759670592006325,0.002845966796613638,0.01296639257532704,0.2274031163046801,0.3355126036882058,0.1652520929549976,0.07864676743732321,0.09619787254006877,0.009426109431706771,Red
14,Sauvignon Blanc,0.5455192778676085,0.2979792357057776,0.002301485242403406,0.009123222985443031,0.3405552496380952,0.4737608506357395,0.1563315270822435,0.2777399156203299,0.05157998452982739,0.2139448353552878,0.1052273854961853,0.003016856132680915,0.2396813633616613,0.2335816482297582,White
