,Wine Id,Title,Year,Winery,Variety,Colour,Description,Country,Province,Price,Points
703,703,Winzergenossenschaft Mayschoss-Altenahr 2013 Trocken Früburgunder (Ahr),Winzergenossenschaft Mayschoss-Altenahr 2013 Trocken Früburgunder (Ahr),Winzergenossenschaft Mayschoss-Altenahr,Früburgunder,White,"Quite rare in the U.S. market, this ripe richly berried wine is an excellent example of Frühburgunder, an early ripening mutation of Pinot Noir. Blackberry and plum flavors are fleshy and rich, offset by soft, sunny acidity and a supple silken mouthfeel. It's just faintly tannic and approachable now.",Germany,Ahr,40,90
751,751,Terre Rouge 2013 Vin Doux Naturel Muscat Blanc à Petits Grains (Shenandoah Valley (CA)),Terre Rouge 2013 Vin Doux Naturel Muscat Blanc à Petits Grains (Shenandoah Valley (CA)),Terre Rouge,Muscat Blanc à Petits Grains,White,"An earthy, nutty aroma and flavor come through the intense sweetness and full body of this dessert-style wine. It goes for earthy complexity rather than obvious fruit flavors, and tastes high in sugar and alcohol.",US,California,20,87
1053,1053,Barkan 2010 Classic Merlot-Argaman (Dan),Barkan 2010 Classic Merlot-Argaman (Dan),Barkan,Merlot-Argaman,Red,"This 50-50 blend is easy and drinkable now, with a soft structure of delicate red fruit flavors, light tannins and moderate acidity. An herbal, almost leafy character adds depth to the bouquet. Drink now.",Israel,Dan,12,85
1897,1897,Vino z Czech NV Cabernet Moravia (Moravia),Vino z Czech NV Cabernet Moravia (Moravia),Vino z Czech,Cabernet Moravia,Red,"The Cabernet Moravia grape is a cross between Cabernet Franc and Zweigelt. Here, it incorporates all of Cab Franc's leafy herbaceousness and Zweigelt's tart, cranberry flavors in a refreshing wine. It's delicate in concentration, but easy drinking, with lots of green, grassy notes on the finish.",Czech Republic,Moravia,18,85
2001,2001,Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),Cantine di Dolianova 2010 Dolia  (Monica di Sardegna),Cantine di Dolianova,Monica,Red,"The Monica grape often shows a rustic or raw quality, with aromas of cherry cola, black pepper and sour fruit. This expression does just that, with an added touch of bright acidity on the finish.",Italy,Sicily & Sardinia,14,85
2166,2166,àMaurice 2014 Boushey Vineyard Marsanne-Viognier (Yakima Valley),àMaurice 2014 Boushey Vineyard Marsanne-Viognier (Yakima Valley),àMaurice,Marsanne-Viognier,White,"The aromas of flowers, mineral, peach and almond are initially light but pleasing. The stone-fruit flavors are full bodied and sweet, pulling up ever so slightly on the finish.",US,Washington,35,89
2214,2214,Le Buche 2008 Olivi Cantine Pugnitello (Toscana),Le Buche 2008 Olivi Cantine Pugnitello (Toscana),Le Buche,Pugnitello,Red,"You won't find many wines made with the Pugnitello grape (a native variety of Tuscany) and that's what is special about this bottle. The wine shows ripe fruit, blackberry and a soft, velvety texture.",Italy,Tuscany,49,89
2222,2222,Quinta de Foz de Arouce 2009 Branco Cerceal (Beiras),Quinta de Foz de Arouce 2009 Branco Cerceal (Beiras),Quinta de Foz de Arouce,Cerceal,Red,"A wild, herbal, wood-aged wine, its acidity a fine foil to the richly perfumed fruit. Pears and sweet melon come together with the toast of the wood. At this stage, the wood dominates and needs a year to soften—then the result will be impressively food-friendly.",Portugal,Beiras,50,89
2826,2826,Suvla 2012 Kinali Yapincak (Thrace),Suvla 2012 Kinali Yapincak (Thrace),Suvla,Kinali Yapincak,White,"Made of Kinali Yapincak, a grape native to Turkey, this deep-straw colored wine does not give up much on the nose beyond a touch of apricot and just-washed cotton sheets. It does not seem wholly integrated on the palate, with chewy tannins overpowering flavors of melon, toast and white flower.",Turkey,Thrace,15,84
2892,2892,Tricky Rabbit 2012 Reserva Cabernet Franc-Carmenère (Maule Valley),Tricky Rabbit 2012 Reserva Cabernet Franc-Carmenère (Maule Valley),Tricky Rabbit,Cabernet Franc-Carmenère,Red,"Chunky, slightly jammy plum and blackberry aromas are good but basic. In the mouth, this shows tartaric grit and bite along with lean fruit. Flavors of red plum and raspberry finish zesty but with hardly any complexity.",Chile,Maule Valley,12,86
